"id","capability","scope","public_claim","evidence_kind","access_status","implementation","independent_plan","limitation","evidence_refs","access_evidence_refs","required_inputs","source_urls","observed_on"
"F11","Stack Finder","Sport dependent","The guide describes ranked potential stacks that users can select for optimization.","Vendor-described","Not verified","Prototype","An optional same-team QB + WR/TE constraint is implemented.","A stack constraint is not a fitted joint-outcome model or a profit guarantee.","S09:stack;S09:choose","","Team / position IDs;Correlation model (future)","https://linestar.gitbook.io/linestar-app/feature-guides/stacking","2026-09-22"
"F12","Exposure & budget controls","Advanced settings","The pricing page advertises exposures and budget management.","Vendor-described","Not verified","Prototype","Library enforces salary limits and requested-set maximum exposure counts, rejecting incomplete portfolios.","Greedy sequential lineup selection is not a globally optimal portfolio. Exact vendor cap semantics not inspected.","S02:exposures","","Portfolio size;Exposure caps","https://www.linestarapp.com/Pricing","2026-09-22"
"F13","Late swap & set re-optimization","Late-swap eligible contests","The guide separates individual replacement selection from bulk set re-optimization, and says operator entries must also be updated.","Vendor-described","Not verified","Prototype","Freeze started-game players in their exact slots and exclude newly locked additions.","No operator submission. Eligibility depends on contest rules and trustworthy lock times.","S08:single;S08:sets;S08:submit","","Existing entries;Actual / scheduled start times","https://linestar.gitbook.io/linestar-app/feature-guides/late-swap-+-swaptimize","2026-09-22"
"F14","Projected ownership","Contest definition not established","LineStar describes estimating the share of fantasy teams rostering a player using performance, matchups, injuries and salary.","Vendor-described","Premium documented","Blocked","Train on licensed, contest-specific realized ownership with temporal holdouts.","No ownership numbers are fabricated. Training set and calibration are unknown.","S06:estimate;S06:factors","S02:premium","Historical contest ownership;Contest population","https://linestar.gitbook.io/linestar-app/feature-guides/projected-ownership;https://www.linestarapp.com/Pricing","2026-09-22"
"F15","Perfect Lineups","Historical / live; archive depth untested","The guide describes hindsight salary-and-position-constrained optimal lineups and advertises a free historical view.","Vendor-described","Free described","Planned","Compute a hindsight upper bound from licensed settled results, separately from predictive backtests.","Do not use the hindsight optimum as an achievable historical strategy.","S13:free;S13:hindsight","S13:free","Settled outcomes;Historical slate rules","https://linestar.gitbook.io/linestar-app/feature-guides/perfect-lineups","2026-09-22"
"F16","Salary comparison","Observed NFL navigation","Public navigation lists a DraftKings-versus-FanDuel salary comparison.","Observed navigation","Not verified","Planned","Join licensed salaries by canonical ID, accounting for different budgets and scoring.","A link does not prove cross-platform field quality or access.","S01:salaries","","Operator slates;ID crosswalks","https://www.linestarapp.com/","2026-09-22"
"F17","Salary changes","Observed NFL navigation","Public navigation lists daily salary moves.","Observed navigation","Not verified","Planned","Compare versioned snapshots within a consistent provider and contest type.","Do not mix differently scoped slates.","S01:changes","","Salary snapshots","https://www.linestarapp.com/","2026-09-22"
"F18","Touchdown report","NFL navigation only","Public NFL navigation lists TD scoring trends.","Observed navigation","Not verified","Planned","Model touchdown counts / probabilities from role and opportunity data after calibration.","No extension to college or Canadian football is established.","S01:td","","Opportunity;Red-zone events","https://www.linestarapp.com/","2026-09-22"
"F19","Snap counts","NFL navigation only","Public NFL navigation lists a snap-count tool.","Observed navigation","Not verified","Planned","Derive role shares from licensed participation data with availability timestamps.","Data publication schedules must be checked, not assumed live.","S01:snaps","","Offensive / defensive snaps","https://www.linestarapp.com/","2026-09-22"
"F20","Red-zone usage","NFL navigation only","Public NFL navigation lists red-zone usage.","Observed navigation","Not verified","Planned","Version a red-zone definition and aggregate plays before the prediction cutoff.","Definition and exact vendor calculations are not disclosed by a menu label.","S01:redzone","","Field position;Targets / carries","https://www.linestarapp.com/","2026-09-22"
"F21","Matchups & positional defense","NFL / NBA navigation; MLB guide","Public navigation lists matchup breakdowns and defense-versus-position; the guide gives batter/pitcher and receiver/corner examples.","Vendor-described","Not verified","Planned","Use regularized, time-safe opponent adjustments and report sample sizes.","Small head-to-head samples do not establish predictive value.","S01:matchups;S01:defense;S12:splits;S12:receiver","","Opponent IDs;Usage-adjusted outcomes","https://www.linestarapp.com/;https://linestar.gitbook.io/linestar-app/feature-guides/daily-matchups","2026-09-22"
"F22","NBA Usage Matrix / court scenarios","NBA only in reviewed evidence","The NBA guide describes changing a player’s minutes and recalculating remaining-player usage; pricing mentions a Court Simulator.","Vendor-described","Not verified","Planned","Model team-minute conservation and role redistribution with lineup availability.","Do not claim the same feature for WNBA or NCAAB.","S11:scenario;S11:usage;S02:court","","Minutes;On/off possessions;Rotation data","https://linestar.gitbook.io/linestar-app/feature-guides/usage-matrix-nba;https://www.linestarapp.com/Pricing","2026-09-22"
"F23","MLB Dinger Report","MLB","The pricing comparison lists a Daily Dinger Report for MLB home-run predictions.","Vendor-described","Not verified","Planned","Build a separately calibrated home-run probability model using authorized pitch and plate-appearance data.","The advertised result is not evidence of discrimination or calibration.","S02:dingers","","Batter / pitcher;Park;Weather","https://www.linestarapp.com/Pricing","2026-09-22"
"F24","Best Ball rankings & ADP","NFL observed; other sports unverified","The public NFL menu lists rankings, ADP and draft tools.","Observed navigation","Not verified","Blocked","Acquire authorized ADP snapshots and define season-long scoring and roster rules.","The earlier MLB scope and 2025 date were not substantiated.","S01:bestball","","Draft observations;Season simulations","https://www.linestarapp.com/","2026-09-22"
"F25","Prop analysis","Operators / markets vary","Props AI documentation describes prop-line collection and evaluation with expected-value and outcome-likelihood fields.","Vendor-described","Not verified","Prototype","Demonstrate unit-stake EV arithmetic from explicitly assumed probabilities and odds.","No calibrated prop probabilities or real prices; not a Props AI replica.","S07:lines;S07:evaluation","","Win / push probability;Decimal odds;Settlement rules","https://linestar.gitbook.io/linestar-app/feature-guides/props-ai","2026-09-22"
"F26","Prop history, filters & pick tracking","Props AI guide","The guide describes 5-game / 10-game / season histories, saved filters and tracking without wagering.","Vendor-described","Not verified","Planned","Store authorized historical market snapshots and immutable paper-pick decisions.","Replaying today’s line over historical games is descriptive, not a valid historical betting backtest.","S07:history;S07:filters;S07:tracking","","Market timestamps;Settlement results","https://linestar.gitbook.io/linestar-app/feature-guides/props-ai","2026-09-22"
"F27","Starting lineups","Observed NFL / NBA navigation","The public menu labels a confirmed-lineups dashboard.","Observed navigation","Not verified","Blocked","Use licensed confirmation events with provenance and a freshness deadline.","A roster or depth chart is not a confirmed starting lineup.","S01:lineups","","Confirmed status events","https://www.linestarapp.com/","2026-09-22"
"F28","Live scoring","Observed NFL / NBA navigation","The public menu lists live contest scoring.","Observed navigation","Not verified","Blocked","Reconcile authorized live events with versioned scoring and corrections.","Static Pages has no continuously running feed backend.","S01:live","","Licensed live feed;Scoring rules","https://www.linestarapp.com/","2026-09-22"
"F29","Projection update log","Observed NFL / NBA navigation","The public menu describes a what-changed-and-why projection view.","Observed navigation","Not verified","Planned","Publish model version, input timestamps and reason codes for every recomputation.","A menu description does not identify triggers or latency.","S01:updates","","Immutable forecast revisions","https://www.linestarapp.com/","2026-09-22"
"F30","News & strategy articles","Observed NFL navigation / pricing","The navigation lists player news and strategy; pricing describes expert, beat-reporter and team sources.","Vendor-described","Not verified","Blocked","License news inputs; link to originals rather than republishing reporting.","No supplier, social-scraping rights, or measured sentiment edge established.","S01:news;S01:articles;S02:news","","Authorized news;Source timestamps","https://www.linestarapp.com/;https://www.linestarapp.com/Pricing","2026-09-22"
"F31","Community chat","LineStar community","The public documentation index describes real-time conversation with DFS players and experts.","Vendor-described","Not verified","Planned","A separate moderated discussion feature could be built; no data is copied.","Not equivalent to FanSense sentiment or expert editorial coverage.","S30:chat","","User consent;Moderation","https://linestar.gitbook.io/linestar-app/llms.txt","2026-09-22"
"F32","Social sentiment / FanSense","Mobile listing","The app listing describes a view of how other users feel about an athlete.","Vendor-described","Not verified","Blocked","Any future sentiment feature must collect first-party consented feedback.","Community opinions are not ground-truth ownership and cannot be recreated without a community.","S15:sentiment","","Consented first-party feedback","https://apps.apple.com/us/app/linestar-for-dk-dfs/id933568931","2026-09-22"
"F33","Weather & player alerts","Mobile listing","The app listing advertises weather alerts, contextual icons and critical game/player push notifications.","Vendor-described","Not verified","Planned","Generate rule-based alerts from authorized status / weather data; keep delivery separate from the model.","No response-time guarantee. Native push is not in this static prototype.","S15:alerts;S15:quick;S15:push","","Status changes;Weather forecasts;Notification consent","https://apps.apple.com/us/app/linestar-for-dk-dfs/id933568931","2026-09-22"
"F34","Mobile / desktop continuity","Web + mobile","The feature guide says lineups sync between the same account’s mobile and desktop clients.","Vendor-described","Premium documented","Planned","The site is responsive; future account-backed state sync requires a backend.","Responsive design does not implement native apps or cloud synchronization.","S03:sync","S02:premium","Identity;Versioned saved lineups","https://linestar.gitbook.io/linestar-app/overview/our-features;https://www.linestarapp.com/Pricing","2026-09-22"
"F35","Advanced group / bring-back controls","Not established","The old repository asserted exact group-count and bring-back controls; these details were not confirmed in the reviewed evidence.","Unverified","Not verified","Planned","Treat generic group constraints and opponent bring-backs as our own proposed requirements, not verified vendor features.","Keep unverified until a permitted primary description supports each control.","","","Group definitions;Game / team relationships","","2026-09-22"
"F36","Cash / tournament strategy settings","Vendor strategy guidance","The guide describes higher-floor cash-game preferences and higher-ceiling tournament preferences.","Vendor-described","Not verified","Planned","Evaluate full outcome distributions and contest payouts; do not equate a heuristic score with expected profit.","The old projection × (1 − ownership) objective had no validation.","S05:floor;S05:ceiling","","Joint outcome distributions;Contest payouts / fees","https://linestar.gitbook.io/linestar-app/feature-guides/lineup-optimizer","2026-09-22"
